,FoodItem,Raw_Foodcategory,Standard_Food_Category,Energy,Fat,Carb,Sugar,Protein,Sodium,Fiber,Saturated,Trans-Fats,Monounsaturated,Polyunsaturated,Cholesterol,Calcium,Magnesium,Potassium,Iron,Zinc,Phosphorus,Vitamin A,Vitamin C,Vitamin B1 (Thiamine),Vitamin B2 (Riboflavin),Vitamin B3 (Niacin),Vitamin B6 (Pyridoxine),Vitamin B9 (Folic Acid),Vitamin B12 (Cobalamin),Vitamin D,Vitamin E (Alpha Tocopherol),Vitamin K
0,Carrot Halwa | Gajar Ka Halwa || JHDB,Sweets,Sweets,335.01 (kcal/24 H),16.35 (gm),42.93 (gm),36.29 (gm),7.38 (gm),139.58 (mg),3.54 (gm),8.66 (gm),0.0 (gm),4.92 (gm),1.08 (gm),41.76 (mg),249.26 (mg),46.3 (mg),651.5 (mg),0.64 (mg),1.17 (mg),231.0 (mg),5524.42 (ug),6.49 (mg),0.18 (mg),0.33 (mg),1.37 (mg),0.26 (mg),23.36 (ug),0.9 (ug),1.83 (ug),1.34 (mg),15.78 (ug)
0,Rasgulla || JHDB,Sweets,Sweets,122.76 (kcal/24 H),1.78 (gm),25.05 (gm),24.88 (gm),1.85 (gm),22.34 (mg),0.01 (gm),1.03 (gm),0.0 (gm),0.38 (gm),0.06 (gm),6.64 (mg),74.85 (mg),7.9 (mg),86.15 (mg),0.02 (mg),0.23 (mg),56.31 (mg),17.75 (ug),1.16 (mg),0.03 (mg),0.08 (mg),0.06 (mg),0.03 (mg),0.48 (ug),0.3 (ug),0.61 (ug),0.03 (mg),0.17 (ug)
0,Kaju Katli || JHDB,Sweets,Sweets,93.24 (kcal/24 H),5.3 (gm),10.88 (gm),7.7 (gm),1.75 (gm),2.01 (mg),0.34 (gm),1.05 (gm),0.0 (gm),3.12 (gm),0.9 (gm),0.0 (mg),5.86 (mg),29.82 (mg),64.77 (mg),0.69 (mg),0.64 (mg),56.0 (mg),0.0 (ug),0.0 (mg),0.02 (mg),0.02 (mg),0.16 (mg),0.03 (mg),7.89 (ug),0.0 (ug),0.0 (ug),0.11 (mg),3.97 (ug)
0,Moong Dal Halwa || JHDB,Sweets,Sweets,542.42 (kcal/24 H),25.94 (gm),70.26 (gm),46.44 (gm),11.87 (gm),28.55 (mg),7.01 (gm),15.27 (gm),0.0 (gm),7.35 (gm),1.31 (gm),64.92 (mg),130.96 (mg),88.77 (mg),623.6 (mg),2.92 (mg),1.37 (mg),211.19 (mg),145.15 (ug),2.13 (mg),0.3 (mg),0.18 (mg),1.02 (mg),0.22 (mg),259.41 (ug),0.27 (ug),0.55 (ug),0.28 (mg),3.94 (ug)
0,Gulab Jamun || JHDB,Sweets,Sweets,122.27 (kcal/24 H),3.64 (gm),17.08 (gm),15.33 (gm),2.86 (gm),64.34 (mg),0.04 (gm),1.73 (gm),0.04 (gm),0.7 (gm),0.77 (gm),13.54 (mg),28.82 (mg),0.67 (mg),9.55 (mg),0.04 (mg),0.02 (mg),3.36 (mg),6.81 (ug),0.46 (mg),0.0 (mg),0.0 (mg),0.02 (mg),0.0 (mg),0.3 (ug),0.0 (ug),0.01 (ug),0.08 (mg),0.83 (ug)
0,Modak || JHDB,Sweets,Sweets,108.56 (kcal/24 H),2.44 (gm),20.22 (gm),11.23 (gm),0.78 (gm),54.69 (mg),0.82 (gm),2.02 (gm),0.0 (gm),0.19 (gm),0.07 (gm),0.51 (mg),21.64 (mg),6.02 (mg),31.02 (mg),0.5 (mg),0.15 (mg),16.47 (mg),0.98 (ug),0.23 (mg),0.02 (mg),0.0 (mg),0.28 (mg),0.04 (mg),2.0 (ug),0.0 (ug),0.0 (ug),0.03 (mg),0.01 (ug)
0,Rice Kheer || JHDB,Sweets,Sweets,248.28 (kcal/24 H),9.27 (gm),33.85 (gm),26.56 (gm),8.58 (gm),80.3 (mg),0.72 (gm),4.21 (gm),0.0 (gm),2.95 (gm),0.87 (gm),24.91 (mg),267.73 (mg),40.03 (mg),378.69 (mg),0.65 (mg),1.16 (mg),247.01 (mg),68.83 (ug),0.18 (mg),0.19 (mg),0.33 (mg),0.67 (mg),0.17 (mg),33.18 (ug),1.12 (ug),2.28 (ug),0.71 (mg),1.29 (ug)
0,Puran Poli || JHDB,Sweets,Sweets,458.34 (kcal/24 H),13.84 (gm),80.34 (gm),36.52 (gm),9.85 (gm),251.01 (mg),12.3 (gm),2.64 (gm),0.0 (gm),5.43 (gm),5.24 (gm),3.64 (mg),96.06 (mg),42.76 (mg),142.22 (mg),3.32 (mg),0.99 (mg),106.15 (mg),7.88 (ug),0.13 (mg),0.1 (mg),0.06 (mg),1.76 (mg),0.07 (mg),9.03 (ug),0.0 (ug),0.0 (ug),1.54 (mg),14.37 (ug)
0,Motichoor Ladoo || JHDB,Sweets,Sweets,174.31 (kcal/24 H),4.31 (gm),31.93 (gm),26.24 (gm),2.74 (gm),8.71 (mg),1.3 (gm),0.56 (gm),0.0 (gm),1.65 (gm),1.79 (gm),0.0 (mg),4.94 (mg),0.87 (mg),102.98 (mg),0.03 (mg),0.01 (mg),0.1 (mg),0.01 (ug),0.01 (mg),0.0 (mg),0.0 (mg),0.0 (mg),0.0 (mg),0.01 (ug),0.0 (ug),0.0 (ug),0.41 (mg),4.13 (ug)
0,Suji Ka Halwa | Sheera Recipe || JHDB,Sweets,Sweets,323.93 (kcal/24 H),19.18 (gm),36.96 (gm),19.57 (gm),3.39 (gm),3.43 (mg),1.17 (gm),10.82 (gm),0.0 (gm),5.95 (gm),1.05 (gm),43.62 (mg),17.7 (mg),23.14 (mg),99.81 (mg),0.62 (mg),0.46 (mg),51.95 (mg),83.53 (ug),0.16 (mg),0.07 (mg),0.03 (mg),0.78 (mg),0.04 (mg),17.86 (ug),0.0 (ug),0.0 (ug),0.04 (mg),1.47 (ug)
0,Rava Kesari || JHDB,Sweets,Sweets,636.83 (kcal/24 H),15.2 (gm),47.23 (gm),26.08 (gm),3.66 (gm),3.44 (mg),0.23 (gm),8.23 (gm),0.0 (gm),4.84 (gm),0.83 (gm),32.75 (mg),15.6 (mg),14.03 (mg),39.93 (mg),0.33 (mg),0.26 (mg),22.87 (mg),62.72 (ug),0.07 (mg),0.01 (mg),0.02 (mg),0.07 (mg),0.01 (mg),3.04 (ug),0.0 (ug),0.0 (ug),0.04 (mg),1.54 (ug)
0,Kalakand || JHDB,Sweets,Sweets,135.14 (kcal/24 H),6.53 (gm),14.56 (gm),14.04 (gm),5.03 (gm),149.28 (mg),0.1 (gm),3.53 (gm),0.13 (gm),1.9 (gm),0.39 (gm),19.27 (mg),142.99 (mg),9.68 (mg),123.69 (mg),0.16 (mg),0.3 (mg),70.15 (mg),41.2 (ug),0.69 (mg),0.03 (mg),0.11 (mg),0.07 (mg),0.02 (mg),3.62 (ug),0.11 (ug),0.04 (ug),0.06 (mg),0.48 (ug)
0,Coconut Burfi || JHDB,Sweets,Sweets,433.75 (kcal/24 H),23.55 (gm),45.81 (gm),45.8 (gm),9.62 (gm),127.81 (mg),2.78 (gm),17.76 (gm),0.0 (gm),3.62 (gm),0.57 (gm),40.76 (mg),298.13 (mg),40.73 (mg),490.77 (mg),0.72 (mg),1.15 (mg),284.66 (mg),95.14 (ug),2.52 (mg),0.11 (mg),0.41 (mg),0.6 (mg),0.08 (mg),10.09 (ug),0.67 (ug),0.8 (ug),0.38 (mg),0.65 (ug)
0,Rabri || JHDB,Sweets,Sweets,375.77 (kcal/24 H),19.69 (gm),33.88 (gm),31.89 (gm),16.76 (gm),165.09 (mg),1.5 (gm),8.62 (gm),0.0 (gm),6.39 (gm),2.08 (gm),51.9 (mg),557.54 (mg),78.39 (mg),760.98 (mg),0.53 (mg),2.13 (mg),496.85 (mg),146.89 (ug),1.59 (mg),0.32 (mg),0.7 (mg),0.76 (mg),0.36 (mg),5.99 (ug),2.34 (ug),4.76 (ug),2.16 (mg),1.3 (ug)
0,Peda || JHDB,Sweets,Sweets,97.97 (kcal/24 H),4.13 (gm),12.17 (gm),12.14 (gm),3.43 (gm),50.85 (mg),0.01 (gm),2.58 (gm),0.0 (gm),1.19 (gm),0.13 (gm),14.79 (mg),120.41 (mg),11.24 (mg),168.69 (mg),0.07 (mg),0.43 (mg),104.3 (mg),38.37 (ug),1.13 (mg),0.04 (mg),0.17 (mg),0.09 (mg),0.03 (mg),4.8 (ug),0.33 (ug),0.07 (ug),0.07 (mg),0.28 (ug)
0,Malpua || JHDB,Sweets,Sweets,808.45 (kcal/24 H),34.93 (gm),102.42 (gm),68.36 (gm),24.49 (gm),192.47 (mg),2.92 (gm),17.56 (gm),0.0 (gm),10.27 (gm),3.21 (gm),96.35 (mg),587.63 (mg),90.87 (mg),833.88 (mg),2.61 (mg),2.46 (mg),557.46 (mg),209.38 (ug),1.51 (mg),0.65 (mg),0.91 (mg),3.26 (mg),0.38 (mg),126.95 (ug),2.34 (ug),4.76 (ug),2.18 (mg),1.42 (ug)
0,Wheat Halwa || JHDB,Sweets,Sweets,705.84 (kcal/24 H),36.09 (gm),96.43 (gm),67.17 (gm),4.27 (gm),6.25 (mg),1.39 (gm),21.12 (gm),0.0 (gm),10.16 (gm),2.36 (gm),87.32 (mg),25.42 (mg),50.42 (mg),93.4 (mg),1.6 (mg),1.06 (mg),113.09 (mg),167.24 (ug),0.0 (mg),0.16 (mg),0.04 (mg),2.39 (mg),0.15 (mg),16.67 (ug),0.0 (ug),0.0 (ug),0.04 (mg),0.32 (ug)
0,Til Ke Laddu || JHDB,Sweets,Sweets,111.13 (kcal/24 H),6.58 (gm),11.22 (gm),8.94 (gm),1.95 (gm),15.12 (mg),1.12 (gm),1.57 (gm),0.0 (gm),2.45 (gm),2.24 (gm),0.0 (mg),66.42 (mg),24.86 (mg),58.11 (mg),1.19 (mg),0.52 (mg),47.35 (mg),0.14 (ug),0.01 (mg),0.06 (mg),0.02 (mg),0.69 (mg),0.05 (mg),13.73 (ug),0.0 (ug),0.0 (ug),0.5 (mg),1.65 (ug)
0,Jalebi || JHDB,Sweets,Sweets,61.79 (kcal/24 H),0.81 (gm),12.93 (gm),7.57 (gm),0.82 (gm),0.97 (mg),0.25 (gm),0.11 (gm),0.0 (gm),0.31 (gm),0.33 (gm),0.0 (mg),3.67 (mg),1.87 (mg),13.89 (mg),0.32 (mg),0.05 (mg),7.88 (mg),0.0 (ug),0.0 (mg),0.05 (mg),0.03 (mg),0.39 (mg),0.0 (mg),19.33 (ug),0.0 (ug),0.0 (ug),0.09 (mg),0.85 (ug)
0,Gujiya || JHDB,Sweets,Sweets,185.73 (kcal/24 H),8.33 (gm),24.5 (gm),8.4 (gm),5.41 (gm),82.83 (mg),1.85 (gm),3.64 (gm),0.0 (gm),2.25 (gm),1.75 (gm),23.49 (mg),10.11 (mg),21.1 (mg),75.05 (mg),1.01 (mg),0.49 (mg),57.89 (mg),14.24 (ug),0.06 (mg),0.12 (mg),0.09 (mg),1.21 (mg),0.04 (mg),34.73 (ug),0.0 (ug),0.0 (ug),0.48 (mg),2.04 (ug)
0,Mysore Pak || JHDB,Sweets,Sweets,783.07 (kcal/24 H),53.28 (gm),76.86 (gm),65.07 (gm),5.71 (gm),18.45 (mg),2.69 (gm),31.52 (gm),0.0 (gm),15.07 (gm),2.72 (gm),130.98 (mg),4.22 (mg),0.6 (mg),215.34 (mg),0.03 (mg),0.01 (mg),0.0 (mg),250.86 (ug),0.0 (mg),0.0 (mg),0.01 (mg),0.0 (mg),0.0 (mg),0.0 (ug),0.0 (ug),0.0 (ug),0.0 (mg),0.0 (ug)
0,Mango Shrikhand || JHDB,Sweets,Sweets,952.39 (kcal/24 H),1.61 (gm),171.33 (gm),165.3 (gm),75.47 (gm),139.18 (mg),6.78 (gm),0.39 (gm),0.0 (gm),0.58 (gm),0.3 (gm),43.2 (mg),48.7 (mg),42.72 (mg),704.0 (mg),0.79 (mg),0.42 (mg),58.99 (mg),1343.86 (ug),150.82 (mg),0.12 (mg),0.18 (mg),2.78 (mg),0.49 (mg),178.03 (ug),0.0 (ug),0.0 (ug),3.73 (mg),17.39 (ug)
0,Peanut Chikki || JHDB,Sweets,Sweets,477.12 (kcal/24 H),28.62 (gm),45.18 (gm),36.96 (gm),12.55 (gm),62.16 (mg),4.13 (gm),3.69 (gm),0.0 (gm),13.83 (gm),9.49 (gm),0.0 (mg),99.15 (mg),81.92 (mg),343.01 (mg),3.2 (mg),1.59 (mg),182.89 (mg),0.0 (ug),0.0 (mg),0.31 (mg),0.07 (mg),5.87 (mg),0.17 (mg),116.74 (ug),0.0 (ug),0.0 (ug),4.6 (mg),5.5 (ug)
0,Dosa Plain || JHDB,Idlis & Dosa ,Idlis & Dosa,55.1 (kcal/24 H),1.03 (gm),9.83 (gm),0.09 (gm),1.3 (gm),84.47 (mg),0.53 (gm),0.15 (gm),0.0 (gm),0.41 (gm),0.43 (gm),0.26 (mg),10.85 (mg),4.17 (mg),36.46 (mg),0.39 (mg),0.19 (mg),17.3 (mg),0.42 (ug),0.17 (mg),0.04 (mg),0.01 (mg),0.24 (mg),0.03 (mg),19.94 (ug),0.0 (ug),0.0 (ug),0.13 (mg),1.19 (ug)
0,Paper Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,491.85 (kcal/24 H),4.41 (gm),96.57 (gm),0.86 (gm),15.21 (gm),579.44 (mg),5.51 (gm),0.68 (gm),0.0 (gm),1.7 (gm),1.76 (gm),0.0 (mg),75.34 (mg),40.49 (mg),312.73 (mg),3.25 (mg),1.98 (mg),187.33 (mg),3.7 (ug),1.41 (mg),0.36 (mg),0.11 (mg),2.37 (mg),0.31 (mg),175.62 (ug),0.0 (ug),0.0 (ug),0.66 (mg),5.77 (ug)
0,Ragi Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,320.66 (kcal/24 H),10.49 (gm),48.11 (gm),5.47 (gm),9.3 (gm),314.63 (mg),3.66 (gm),3.24 (gm),0.0 (gm),3.0 (gm),3.6 (gm),4.49 (mg),80.48 (mg),74.97 (mg),345.04 (mg),2.61 (mg),1.63 (mg),197.38 (mg),122.04 (ug),38.4 (mg),0.25 (mg),0.13 (mg),3.28 (mg),0.27 (mg),32.35 (ug),0.19 (ug),0.53 (ug),0.82 (mg),15.51 (ug)
0,Schezwan Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,216.93 (kcal/24 H),7.64 (gm),31.73 (gm),3.9 (gm),6.92 (gm),555.75 (mg),5.98 (gm),2.64 (gm),0.0 (gm),2.36 (gm),1.61 (gm),8.06 (mg),48.57 (mg),9.82 (mg),408.0 (mg),2.66 (mg),0.17 (mg),22.95 (mg),853.68 (ug),17.77 (mg),0.04 (mg),0.03 (mg),0.43 (mg),0.09 (mg),19.56 (ug),0.01 (ug),0.0 (ug),0.86 (mg),42.19 (ug)
0,Ghee Roast Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,305.6 (kcal/24 H),7.58 (gm),48.35 (gm),1.11 (gm),12.02 (gm),452.72 (mg),6.24 (gm),4.21 (gm),0.0 (gm),2.1 (gm),0.69 (gm),18.25 (mg),81.41 (mg),32.14 (mg),335.21 (mg),3.96 (mg),1.53 (mg),131.66 (mg),37.66 (ug),2.05 (mg),0.43 (mg),0.1 (mg),1.69 (mg),0.25 (mg),245.0 (ug),0.0 (ug),0.0 (ug),0.22 (mg),2.08 (ug)
0,Oats Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,137.65 (kcal/24 H),2.41 (gm),23.43 (gm),0.46 (gm),5.23 (gm),101.5 (mg),1.58 (gm),0.35 (gm),0.0 (gm),0.9 (gm),0.95 (gm),0.9 (mg),14.32 (mg),20.74 (mg),75.66 (mg),0.62 (mg),0.47 (mg),56.77 (mg),13.43 (ug),1.45 (mg),0.09 (mg),0.03 (mg),0.9 (mg),0.06 (mg),18.21 (ug),0.0 (ug),0.0 (ug),0.26 (mg),4.11 (ug)
0,Onion Rava Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,149.15 (kcal/24 H),3.7 (gm),25.47 (gm),1.21 (gm),3.35 (gm),131.42 (mg),1.48 (gm),0.52 (gm),0.0 (gm),1.5 (gm),1.46 (gm),0.0 (mg),15.35 (mg),18.34 (mg),102.85 (mg),0.76 (mg),0.36 (mg),48.2 (mg),36.68 (ug),19.71 (mg),0.1 (mg),0.04 (mg),1.09 (mg),0.12 (mg),24.15 (ug),0.0 (ug),0.0 (ug),0.48 (mg),6.39 (ug)
0,Poha Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,44.84 (kcal/24 H),1.1 (gm),6.88 (gm),0.16 (gm),1.65 (gm),177.15 (mg),0.33 (gm),0.16 (gm),0.0 (gm),0.45 (gm),0.46 (gm),0.7 (mg),6.54 (mg),3.05 (mg),27.11 (mg),0.41 (mg),0.12 (mg),14.4 (mg),0.25 (ug),0.1 (mg),0.05 (mg),0.01 (mg),0.32 (mg),0.02 (mg),28.93 (ug),0.0 (ug),0.0 (ug),0.13 (mg),1.27 (ug)
0,Mysore Masala Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,360.27 (kcal/24 H),2.71 (gm),74.27 (gm),2.37 (gm),10.67 (gm),239.93 (mg),5.27 (gm),0.45 (gm),0.0 (gm),0.97 (gm),1.09 (gm),0.0 (mg),77.1 (mg),45.24 (mg),535.08 (mg),2.62 (mg),1.55 (mg),174.51 (mg),153.15 (ug),32.24 (mg),0.25 (mg),0.12 (mg),2.17 (mg),0.62 (mg),79.15 (ug),0.0 (ug),0.0 (ug),0.92 (mg),9.1 (ug)
0,Vendhaya Dosai || JHDB,Idlis & Dosa ,Idlis & Dosa,167.3 (kcal/24 H),5.6 (gm),23.45 (gm),0.92 (gm),6.19 (gm),239.87 (mg),3.87 (gm),0.82 (gm),0.0 (gm),2.05 (gm),2.29 (gm),0.89 (mg),54.68 (mg),30.51 (mg),260.31 (mg),2.87 (mg),0.83 (mg),79.48 (mg),6.22 (ug),7.63 (mg),0.23 (mg),0.08 (mg),0.87 (mg),0.12 (mg),111.49 (ug),0.0 (ug),0.0 (ug),0.7 (mg),10.43 (ug)
0,Cheese Dosa || JHDB,Idlis & Dosa ,Idlis & Dosa,227.33 (kcal/24 H),12.37 (gm),20.58 (gm),4.17 (gm),7.92 (gm),223.85 (mg),2.56 (gm),7.5 (gm),0.17 (gm),3.29 (gm),0.68 (gm),31.37 (mg),307.37 (mg),23.39 (mg),306.3 (mg),1.13 (mg),1.36 (mg),197.29 (mg),277.35 (ug),12.93 (mg),0.06 (mg),0.13 (mg),2.22 (mg),0.12 (mg),27.52 (ug),0.53 (ug),0.06 (ug),0.75 (mg),20.38 (ug)
0,Besan Chilla || JHDB,Idlis & Dosa ,Idlis & Dosa,90.42 (kcal/24 H),3.52 (gm),10.66 (gm),2.33 (gm),4.06 (gm),145.04 (mg),2.06 (gm),0.45 (gm),0.0 (gm),1.24 (gm),1.47 (gm),0.2 (mg),6.33 (mg),2.44 (mg),176.63 (mg),0.11 (mg),0.04 (mg),4.56 (mg),43.45 (ug),2.3 (mg),0.01 (mg),0.01 (mg),0.08 (mg),0.02 (mg),2.8 (ug),0.0 (ug),0.0 (ug),0.38 (mg),5.61 (ug)
0,Suji Ka Cheela || JHDB,Idlis & Dosa ,Idlis & Dosa,761.89 (kcal/24 H),15.98 (gm),129.84 (gm),3.97 (gm),22.82 (gm),795.03 (mg),7.98 (gm),2.23 (gm),0.0 (gm),6.09 (gm),6.56 (gm),0.61 (mg),85.8 (mg),100.97 (mg),542.32 (mg),2.88 (mg),1.99 (mg),260.69 (mg),215.64 (ug),112.41 (mg),0.53 (mg),0.19 (mg),6.05 (mg),0.35 (mg),138.9 (ug),0.0 (ug),0.0 (ug),2.08 (mg),29.52 (ug)
0,Moong Dal Cheela /Pessarattu || JHDB,Idlis & Dosa ,Idlis & Dosa,73.78 (kcal/24 H),1.41 (gm),11.59 (gm),1.47 (gm),4.26 (gm),199.6 (mg),2.97 (gm),0.23 (gm),0.0 (gm),0.53 (gm),0.56 (gm),0.0 (mg),30.98 (mg),35.4 (mg),239.09 (mg),1.32 (mg),0.49 (mg),66.85 (mg),31.28 (ug),10.25 (mg),0.11 (mg),0.05 (mg),0.44 (mg),0.08 (mg),109.45 (ug),0.0 (ug),0.0 (ug),0.29 (mg),4.59 (ug)
0,Idli  Plain || JHDB,Idlis & Dosa ,Idlis & Dosa,127.14 (kcal/24 H),0.26 (gm),26.99 (gm),0.16 (gm),3.59 (gm),49.29 (mg),1.06 (gm),0.06 (gm),0.0 (gm),0.07 (gm),0.08 (gm),0.0 (mg),11.78 (mg),10.49 (mg),75.1 (mg),0.73 (mg),0.52 (mg),50.64 (mg),0.74 (ug),0.28 (mg),0.09 (mg),0.03 (mg),0.7 (mg),0.08 (mg),40.99 (ug),0.0 (ug),0.0 (ug),0.06 (mg),0.34 (ug)
0,Rava Idli | Suji Ki Idli || JHDB,Idlis & Dosa ,Idlis & Dosa,107.24 (kcal/24 H),3.84 (gm),14.46 (gm),0.53 (gm),4.02 (gm),120.02 (mg),0.97 (gm),1.79 (gm),0.0 (gm),1.39 (gm),0.37 (gm),7.27 (mg),8.42 (mg),16.57 (mg),68.27 (mg),0.51 (mg),0.34 (mg),38.77 (mg),43.07 (ug),11.15 (mg),0.06 (mg),0.02 (mg),0.68 (mg),0.04 (mg),15.9 (ug),0.0 (ug),0.0 (ug),0.08 (mg),3.56 (ug)
0,Ragi Idli || JHDB,Idlis & Dosa ,Idlis & Dosa,295.5 (kcal/24 H),2.12 (gm),56.74 (gm),1.34 (gm),13.02 (gm),767.05 (mg),5.14 (gm),0.28 (gm),0.0 (gm),0.45 (gm),1.24 (gm),0.01 (mg),60.34 (mg),68.72 (mg),324.99 (mg),4.15 (mg),2.23 (mg),215.78 (mg),3.96 (ug),1.51 (mg),0.49 (mg),0.1 (mg),3.62 (mg),0.34 (mg),202.38 (ug),0.0 (ug),0.0 (ug),0.21 (mg),1.99 (ug)
0,Podi Idli || JHDB,Idlis & Dosa ,Idlis & Dosa,537.21 (kcal/24 H),7.59 (gm),101.28 (gm),4.69 (gm),31.98 (gm),2067.62 (mg),27.01 (gm),1.12 (gm),0.0 (gm),2.59 (gm),3.47 (gm),2.06 (mg),140.29 (mg),64.53 (mg),687.25 (mg),8.93 (mg),2.97 (mg),249.5 (mg),682.37 (ug),4.39 (mg),0.65 (mg),0.23 (mg),2.84 (mg),0.55 (mg),329.88 (ug),0.0 (ug),0.0 (ug),3.03 (mg),23.1 (ug)
0,Idli Upma || JHDB,Idlis & Dosa ,Idlis & Dosa,423.91 (kcal/24 H),17.59 (gm),60.41 (gm),5.05 (gm),3.21 (gm),1224.36 (mg),5.89 (gm),2.44 (gm),0.0 (gm),7.1 (gm),7.43 (gm),6.36 (mg),84.04 (mg),36.06 (mg),530.52 (mg),4.38 (mg),0.65 (mg),74.11 (mg),680.92 (ug),113.86 (mg),0.11 (mg),0.12 (mg),1.26 (mg),0.3 (mg),35.6 (ug),0.0 (ug),0.0 (ug),4.1 (mg),39.58 (ug)
0,Kanchipuram Idli || JHDB,Idlis & Dosa ,Idlis & Dosa,396.81 (kcal/24 H),7.65 (gm),69.71 (gm),0.88 (gm),12.62 (gm),786.85 (mg),5.12 (gm),2.65 (gm),0.0 (gm),2.62 (gm),1.88 (gm),8.19 (mg),88.32 (mg),39.28 (mg),311.27 (mg),2.89 (mg),1.67 (mg),168.2 (mg),38.45 (ug),1.62 (mg),0.35 (mg),0.1 (mg),2.82 (mg),0.35 (mg),149.35 (ug),0.0 (ug),0.0 (ug),0.63 (mg),8.88 (ug)
0,Idli Sambar || JHDB,Idlis & Dosa ,Idlis & Dosa,251.56 (kcal/24 H),12.73 (gm),25.31 (gm),5.52 (gm),11.52 (gm),241.18 (mg),8.6 (gm),2.06 (gm),0.01 (gm),4.7 (gm),4.83 (gm),23.0 (mg),93.99 (mg),48.86 (mg),494.16 (mg),3.76 (mg),1.3 (mg),132.31 (mg),815.15 (ug),21.79 (mg),0.24 (mg),0.14 (mg),2.49 (mg),0.28 (mg),95.16 (ug),0.13 (ug),0.01 (ug),1.53 (mg),30.13 (ug)
0,Paneer Tikka || JHDB,SNACKS,Fast Foods,468.46 (kcal/24 H),35.06 (gm),15.37 (gm),4.22 (gm),18.42 (gm),1058.6 (mg),2.48 (gm),10.18 (gm),0.53 (gm),9.77 (gm),2.91 (gm),64.52 (mg),568.72 (mg),33.8 (mg),249.43 (mg),1.74 (mg),0.23 (mg),168.25 (mg),451.5 (ug),19.8 (mg),0.08 (mg),0.14 (mg),0.38 (mg),0.12 (mg),7.73 (ug),0.0 (ug),0.0 (ug),0.81 (mg),3.57 (ug)
0,Samosa || JHDB,SNACKS,Fast Foods,189.38 (kcal/24 H),6.93 (gm),28.05 (gm),1.45 (gm),4.25 (gm),268.08 (mg),2.83 (gm),2.89 (gm),0.0 (gm),1.99 (gm),1.56 (gm),10.78 (mg),25.17 (mg),24.89 (mg),298.86 (mg),1.06 (mg),0.53 (mg),71.89 (mg),69.18 (ug),17.88 (mg),0.11 (mg),0.05 (mg),1.18 (mg),0.2 (mg),23.39 (ug),0.0 (ug),0.0 (ug),0.7 (mg),6.8 (ug)
0,Khaman Dhokla || JHDB,SNACKS,Fast Foods,220.75 (kcal/24 H),11.44 (gm),22.88 (gm),7.1 (gm),7.46 (gm),410.1 (mg),3.87 (gm),2.74 (gm),0.0 (gm),3.72 (gm),4.05 (gm),0.0 (mg),52.11 (mg),8.61 (mg),358.49 (mg),0.52 (mg),0.14 (mg),64.89 (mg),26.57 (ug),3.82 (mg),0.02 (mg),0.01 (mg),0.11 (mg),0.02 (mg),3.83 (ug),0.0 (ug),0.0 (ug),0.9 (mg),12.03 (ug)
0,Medu Vada (Uzhunnu Vada) || JHDB,SNACKS,Fast Foods,207.19 (kcal/24 H),3.47 (gm),32.96 (gm),1.53 (gm),12.62 (gm),101.59 (mg),5.79 (gm),1.31 (gm),0.0 (gm),0.92 (gm),1.01 (gm),0.0 (mg),22.46 (mg),27.48 (mg),379.07 (mg),3.6 (mg),1.71 (mg),148.66 (mg),39.4 (ug),16.23 (mg),0.45 (mg),0.11 (mg),1.4 (mg),0.29 (mg),242.06 (ug),0.0 (ug),0.0 (ug),0.52 (mg),7.32 (ug)
0,Dahi Vada || JHDB,SNACKS,Fast Foods,1653.05 (kcal/24 H),17.55 (gm),277.45 (gm),126.38 (gm),116.59 (gm),2943.04 (mg),28.37 (gm),2.95 (gm),0.0 (gm),8.39 (gm),4.77 (gm),36.0 (mg),306.22 (mg),247.36 (mg),2270.54 (mg),21.24 (mg),8.26 (mg),785.55 (mg),880.95 (ug),32.95 (mg),2.12 (mg),0.66 (mg),7.68 (mg),1.33 (mg),1002.94 (ug),0.0 (ug),0.0 (ug),3.38 (mg),132.15 (ug)
0,Spring Rolls || JHDB,SNACKS,Fast Foods,57.69 (kcal/24 H),1.92 (gm),8.74 (gm),0.74 (gm),1.53 (gm),129.17 (mg),0.85 (gm),0.28 (gm),0.0 (gm),0.72 (gm),0.8 (gm),0.85 (mg),16.52 (mg),6.58 (mg),69.87 (mg),0.63 (mg),0.15 (mg),18.39 (mg),204.66 (ug),8.33 (mg),0.08 (mg),0.06 (mg),0.78 (mg),0.04 (mg),28.51 (ug),0.0 (ug),0.0 (ug),0.19 (mg),25.49 (ug)
0,Khandvi || JHDB,SNACKS,Fast Foods,181.76 (kcal/24 H),7.12 (gm),17.08 (gm),3.78 (gm),12.65 (gm),419.36 (mg),3.31 (gm),1.51 (gm),0.0 (gm),2.38 (gm),2.61 (gm),3.75 (mg),35.51 (mg),13.42 (mg),250.91 (mg),0.62 (mg),0.23 (mg),21.8 (mg),33.31 (ug),3.12 (mg),0.02 (mg),0.01 (mg),0.16 (mg),0.02 (mg),4.82 (ug),0.0 (ug),0.0 (ug),0.52 (mg),8.98 (ug)
